Claim Number,Date Received,Incident Date,Airport Code,Airport Name,Airline Name,Claim Type,Claim Site,Item,Claim Amount,Status,Close Amount,Disposition,Day Differences,Amount Differences,month,month_name
2008010837502,2008-01-04 00:00:00,2007-12-27 00:00:00,SAN,San Diego International,Southwest Airlines,Passenger Property Loss,Checked Baggage,Clothing - Shoes; belts; accessories; etc.,1000.0,Denied,0.0,Deny,8.0,1000.0,12.0,December
2008072847562,2008-07-22 00:00:00,2008-06-24 00:00:00,BUR,Bob Hope,Jet Blue,Passenger Property Loss,Checked Baggage,Computer - Laptop,1770.0,Denied,0.0,Deny,28.0,1770.0,6.0,June
2006111515584,2006-10-31 00:00:00,2006-10-12 00:00:00,ALB,Albany International,UAL,Passenger Property Loss,Checked Baggage,Alcoholic beverages; Clothing - Shoes; belts; accessories; etc.; Other,876.0,Denied,0.0,Deny,19.0,876.0,10.0,October
2007120436011,2007-11-30 00:00:00,2007-10-02 00:00:00,DTW,Detroit Metropolitan Wayne County Airport,USAir,Passenger Property Loss,Checked Baggage,Jewelry - Costume,1485.0,Denied,0.0,Deny,59.0,1485.0,10.0,October
2007031322178,2007-03-07 00:00:00,2007-02-27 00:00:00,DCA,Ronald Reagan Washington National Airport,ATA Aerocondor,Passenger Property Loss,Checked Baggage,Computer - Laptop; Other,1500.0,Denied,0.0,Deny,8.0,1500.0,2.0,February
2005040481202,2005-03-29 00:00:00,2005-02-26 00:00:00,MDW,Midway International Airport,Southwest Airlines,Passenger Property Loss,Checked Baggage,Computer - Laptop,1451.39,Denied,0.0,Deny,31.0,1451.39,2.0,February
2006101614013,2006-10-10 00:00:00,2006-09-27 00:00:00,JFK,John F. Kennedy International,Delta Air Lines,Passenger Property Loss,Checked Baggage,Computer - Laptop,3810.36,Denied,0.0,Deny,13.0,3810.36,9.0,September
2005010372335,2004-12-14 00:00:00,2004-10-19 00:00:00,LAX,Los Angeles International Airport,American Airlines,Passenger Property Loss,Checked Baggage,Jewelry - Fine,5100.0,Denied,0.0,Deny,56.0,5100.0,10.0,October
2005051684790,2005-05-13 00:00:00,2005-05-06 00:00:00,MSN,Dane County Regional (Madison),Northwest Airlines,Passenger Property Loss,Checked Baggage,Computer - Laptop,2015.0,Denied,0.0,Deny,7.0,2015.0,5.0,May
0811015M,2003-08-11 00:00:00,2003-05-25 00:00:00,SEA,Seattle-Tacoma International,Delta Air Lines,Passenger Property Loss,Checked Baggage,Jewelry - Fine,3000.0,Settled,1000.0,Settle,78.0,2000.0,5.0,May
2008110451720,2008-10-27 00:00:00,2008-10-07 00:00:00,PVD,TF Green Airport; Providence,Southwest Airlines,Passenger Property Loss,Checked Baggage,Audio - CD's; Cell Phones; Computer - Laptop; Other,40000.0,Denied,0.0,Deny,20.0,40000.0,10.0,October
2009012654922,2009-01-16 00:00:00,2009-01-14 00:00:00,MCO,Orlando International Airport,Northwest Airlines,Passenger Property Loss,Checked Baggage,Cameras - Digital; Cell Phones; Computer - Laptop; Jewelry - Fine; Watches - Expensive more than $100,3400.0,Denied,0.0,Deny,2.0,3400.0,1.0,January
1119000M,2003-11-19 00:00:00,2003-11-06 00:00:00,ATL,Hartsfield-Jackson Atlanta International Airport,American Airlines,Property Damage,Checkpoint,Computer - Laptop,2500.0,Denied,0.0,Deny,13.0,2500.0,11.0,November
2006052506987,2006-05-23 00:00:00,2006-03-26 00:00:00,SEA,Seattle-Tacoma International,USAir,Property Damage,Checkpoint,Watches - Expensive more than $100,870.0,Denied,0.0,Deny,58.0,870.0,3.0,March
2006122918207,2006-12-29 00:00:00,2006-12-22 00:00:00,LAX,Los Angeles International Airport,Delta Air Lines,Passenger Property Loss,Checked Baggage,Computer - Laptop,2223.0,Settled,258.38,Settle,7.0,1964.62,12.0,December
2006051606384,2006-05-15 00:00:00,2006-04-29 00:00:00,LAS,McCarran International,American West,Passenger Property Loss,Checked Baggage,Boxes - Jewelry; Cigarette; Music; etc.; Jewelry - Fine,1165.0,Denied,0.0,Deny,16.0,1165.0,4.0,April
2005040581599,2005-03-31 00:00:00,2005-02-07 00:00:00,LAX,Los Angeles International Airport,Virgin Atlantic,Passenger Property Loss,Checkpoint,Jewelry - Fine,5400.0,Denied,0.0,Deny,52.0,5400.0,2.0,February
2004060254130,2004-04-21 00:00:00,2004-02-27 00:00:00,LAX,Los Angeles International Airport,Southwest Airlines,Passenger Property Loss,Checkpoint,Other,1250.0,Denied,0.0,Deny,54.0,1250.0,2.0,February
2007100933121,2007-10-04 00:00:00,2007-09-09 00:00:00,SBP,San Luis Obispo,UAL,Passenger Property Loss,Checked Baggage,Clothing - Shoes; belts; accessories; etc.,1374.0,Denied,0.0,Deny,25.0,1374.0,9.0,September
2008121153274,2008-12-05 00:00:00,2008-09-06 00:00:00,JFK,John F. Kennedy International,Air China,Passenger Property Loss,Checked Baggage,Computer - Laptop; Currency; DVD/CD Players,22000.0,Denied,0.0,Deny,90.0,22000.0,9.0,September
2008050843966,2008-05-06 00:00:00,2008-04-27 00:00:00,EWR,Newark International Airport,Continental Airlines,Passenger Property Loss,Checked Baggage,Cameras - Digital,1500.0,Denied,0.0,Deny,9.0,1500.0,4.0,April
2006060207267,2006-05-31 00:00:00,2006-05-12 00:00:00,SJU,Luis Munoz Marin International,American Airlines,Passenger Property Loss,Checked Baggage,Computer - Laptop,1699.99,Denied,0.0,Deny,19.0,1699.99,5.0,May
2009071661286,2009-07-07 00:00:00,2009-06-13 00:00:00,SNA,John Wayne,UAL,Passenger Property Loss,Checkpoint,Watches - Expensive more than $100,3490.54,Denied,0.0,Deny,24.0,3490.54,6.0,June
2004112267603,2004-10-08 00:00:00,2004-09-09 00:00:00,CHS,Charleston International,UAL,Passenger Property Loss,Checkpoint,Jewelry - Fine,1723.0,Denied,0.0,Deny,29.0,1723.0,9.0,September
0115077M,2004-01-15 00:00:00,2003-12-05 00:00:00,JFK,John F. Kennedy International,American Airlines,Passenger Property Loss,Checked Baggage,Stereo Items & Accessories,1040.01,Denied,0.0,Deny,41.0,1040.01,12.0,December
2006051506302,2006-05-10 00:00:00,2006-04-24 00:00:00,MDT,Harrisburg International,USAir,Passenger Property Loss,Checked Baggage,Electrical and Gas Appliances Minor - $200 or less (humidifiers; tv's; etc) ; Furs,10113.0,Denied,0.0,Deny,16.0,10113.0,4.0,April
2009032756999,2009-03-16 00:00:00,2009-02-12 00:00:00,FLL,Ft. Lauderdale-Hollywood International,Spirit Airlines,Passenger Property Loss,Checkpoint,Cameras - Digital; Cameras - Non-electronic (Camera supplies; lenses; projectors; etc.),1245.71,Denied,0.0,Deny,32.0,1245.71,2.0,February
0902032M,2003-09-02 00:00:00,2003-06-15 00:00:00,BOS,Boston (Logan) International Airport,American Airlines,Property Damage,Checkpoint,Computer - Laptop,2908.13,Settled,1628.77,Settle,79.0,1279.3600000000001,6.0,June
0617638L,2003-01-16 00:00:00,2002-12-07 00:00:00,MSY,New Orleans International,Southwest Airlines,Passenger Property Loss,Other,Luggage (all types including footlockers),1100.0,Denied,0.0,Deny,40.0,1100.0,12.0,December
2008022640166,2008-02-20 00:00:00,2008-02-16 00:00:00,IAD,Washington Dulles International,UAL,Passenger Property Loss,Checked Baggage,Computer - Laptop,1282.2,Denied,0.0,Deny,4.0,1282.2,2.0,February
1022102M,2003-10-22 00:00:00,2003-10-05 00:00:00,BOS,Boston (Logan) International Airport,Delta Air Lines,Passenger Property Loss,Checked Baggage,Computer - Laptop,2000.0,Denied,0.0,Deny,17.0,2000.0,10.0,October
2004121769189,2004-10-26 00:00:00,2004-09-19 00:00:00,BHM,Birmingham International Airport,Southwest Airlines,Passenger Property Loss,Checked Baggage,Jewelry - Fine,2400.0,Denied,0.0,Deny,37.0,2400.0,9.0,September
2008051444206,2008-05-12 00:00:00,2008-04-26 00:00:00,EWR,Newark International Airport,USAir,Passenger Property Loss,Checked Baggage,Cameras - Digital; MP3 Players-(iPods; etc); Watches - Inexpensive $100 or less,938.94,Denied,0.0,Deny,16.0,938.94,4.0,April
2004102065399,2004-09-17 00:00:00,2004-09-03 00:00:00,MHT,Manchester Regional Airport,USAir,Property Damage,Checked Baggage,Computer - Laptop,2000.0,Settled,465.48,Settle,14.0,1534.52,9.0,September
2007050925149,2007-05-03 00:00:00,2007-01-20 00:00:00,SLC,Salt Lake City International Airport,American Airlines,Property Damage,Checked Baggage,Musical Instruments - Other - Over $250,935.0,Denied,0.0,Deny,103.0,935.0,1.0,January
2006011099260,2006-01-05 00:00:00,2005-04-30 00:00:00,LAX,Los Angeles International Airport,Delta Air Lines,Passenger Property Loss,Checked Baggage,Jewelry - Fine,41000.0,Denied,0.0,Deny,250.0,41000.0,4.0,April
2006060907698,2006-06-07 00:00:00,2006-06-04 00:00:00,ATL,Hartsfield-Jackson Atlanta International Airport,Delta Air Lines,Passenger Property Loss,Checkpoint,Currency,2000.0,Denied,0.0,Deny,3.0,2000.0,6.0,June
